"State","County","Urban","LILATracts_1And10","LowIncomeTracts","PovertyRate","MedianFamilyIncome","lapophalfshare","lalowihalfshare","lakidshalfshare","laseniorshalf","Pop2010","border_flag"
"Alabama","Autauga County",0.583333333333333,0.416666666666667,0.416666666666667,16.1307859072351,69337.5,93.0076219342713,31.9930251779244,24.4513988461215,494.525149886235,54571,FALSE
"Alabama","Baldwin County",0.451612903225806,0.129032258064516,0.225806451612903,11.8455456297187,72665.7419354839,91.2386281315225,27.3810692155872,20.4484438229308,878.791832077875,182265,FALSE
"Alabama","Barbour County",0.222222222222222,0.444444444444444,0.888888888888889,29.2993248401537,44792.4444444444,85.6836020604824,42.803610369935,18.3024158819929,372.043084950865,27457,FALSE
"Alabama","Bibb County",0,0,0.25,12.1935243907864,60645.5,94.056629562184,35.4377445165141,22.3343703211253,657.517998596153,22915,FALSE
"Alabama","Blount County",0.111111111111111,0,0.333333333333333,14.8507475830576,60437.6666666667,95.7704475010287,34.8713122548622,23.7939261088742,867.817280272498,57322,FALSE
"Alabama","Bullock County",0.333333333333333,0.666666666666667,0.666666666666667,30.6532624730743,39524.6666666667,96.0273671847758,47.4665237778804,21.7495081916778,435.126442413414,10914,FALSE
"Alabama","Butler County",0.222222222222222,0.333333333333333,0.777777777777778,22.8251322219928,50170.6666666667,85.8645215249838,39.8835703562319,20.2725859527331,317.286882634756,20947,FALSE
"Alabama","Calhoun County",0.7,0.4,0.5,21.2832954900229,50331.6428571429,87.4138546276587,36.4936616836214,19.6823505355149,483.804283970903,118572,FALSE
"Alabama","Chambers County",0.444444444444444,0.333333333333333,0.444444444444444,18.0035331099631,52413.4444444444,83.1964793440002,38.2528614137144,18.3997664720839,521.180659741417,34215,FALSE
"Alabama","Cherokee County",0.166666666666667,0,0.333333333333333,15.6425381802109,51754.6666666667,96.2964059761387,40.2121600409129,20.4062895629982,755.443718853886,25989,FALSE
"Alabama","Chilton County",0.111111111111111,0.111111111111111,0.666666666666667,17.9109839018324,56950.8888888889,95.2370574623439,38.0556109635418,23.8705714941858,609.968949386421,43643,FALSE
"Alabama","Choctaw County",0,0.5,0.75,23.0667767223757,48448.5,97.2878234567,47.3045833605938,22.2800096001337,604.5316451304,13859,FALSE
"Alabama","Clarke County",0.222222222222222,0.555555555555556,0.888888888888889,27.713936619552,49746.5555555556,95.8849276671919,45.1554250819705,23.676124065473,426.660677035931,25833,FALSE
"Alabama","Clay County",0,0,0.5,19.8400027861057,48673,90.7348146910189,40.1693869372527,20.5717403411753,513.201574197252,13932,FALSE
"Alabama","Cleburne County",0,0,0.5,18.9297858120379,52674,92.1014216155304,38.4177898228425,22.0979661735894,526.403815755691,14972,FALSE
"Alabama","Coffee County",0.357142857142857,0.142857142857143,0.428571428571429,16.8119572733408,60938.7142857143,85.2250321016392,29.7189140320312,20.1742014336233,438.850420687373,49948,FALSE
"Alabama","Colbert County",0.642857142857143,0.142857142857143,0.357142857142857,17.67318796695,55345.7142857143,85.8121235196902,32.1693573215253,18.8329265446335,587.955903860223,54428,FALSE
"Alabama","Conecuh County",0,0.6,0.8,22.0095303457603,41969.6,94.2379414762402,53.1452916580056,20.9940096099482,450.931503795266,13228,FALSE
